mot;affichage;longueur;categorie;definition;registre;niveau;verif
UEFA;UEFA;4;competitions;L'instance européenne;factuel;1;
REAL;Real;4;clubs;Géant madrilène;factuel;1;
AJAX;Ajax;4;clubs;École batave;factuel;1;
ROMA;Roma;4;clubs;Louve italienne;factuel;1;
METZ;Metz;4;clubs;Grenats de Lorraine;factuel;2;
CAEN;Caen;4;clubs;Club normand;factuel;2;
LENS;Lens;4;clubs;Sang et or;factuel;1;
NICE;Nice;4;clubs;Ville des Aiglons;factuel;1;
LYON;Lyon;4;clubs;Ville des Gones;factuel;1;
ASSE;A.S.S.E.;4;clubs;Les Verts en sigle;factuel;1;
LOSC;LOSC;4;clubs;Les Dogues en sigle;factuel;1;Lille
PARC;Parc;4;stades;L'antre parisien a ses Princes;joueur;1;Parc des Princes
CLUB;club;4;vocab;Maison d'un joueur;factuel;1;
BANC;banc;4;vocab;Les remplaçants s'y assoient;factuel;1;
AILE;aile;4;vocab;Couloir du dribbleur;factuel;1;
TETE;tête;4;vocab;Frappe du front;factuel;1;
GOAL;goal;4;vocab;Gardien en anglais;factuel;1;
NIKE;Nike;4;culture;Virgule équipementière;joueur;1;
PUMA;Puma;4;culture;Félin équipementier;joueur;1;
ONZE;onze;4;vocab;Effectif de départ;factuel;1;
TIFO;tifo;4;culture;Fresque déployée par les ultras;factuel;1;
CHOC;choc;4;vocab;Affiche de la journée;joueur;1;
DUEL;duel;4;vocab;Un contre un;factuel;1;
MAIN;main;4;vocab;Faute involontaire parfois;factuel;1;
PIED;pied;4;vocab;Outil principal du jeu;factuel;1;
CAGE;cage;4;vocab;Domaine du gardien;factuel;1;
LOGE;loge;4;vocab;Tribune VIP;factuel;1;
PERE;père;4;fillfoot;Lilian pour Marcus et Khéphren;joueur;2;famille Thuram
FILS;fils;4;fillfoot;Marcus pour Lilian;joueur;2;famille Thuram
ZONE;zone;4;vocab;Défense collective;factuel;2;
LOFT;loft;4;vocab;Purgatoire des indésirables;joueur;2;
PRET;prêt;4;vocab;Transfert temporaire;factuel;1;
STAR;star;4;vocab;Tête d'affiche;factuel;1;
FLOP;flop;4;vocab;Transfert raté;joueur;1;
TEAM;team;4;vocab;Équipe en anglais;factuel;1;
GARE;gare;4;fillfoot;Point de départ des déplacements;joueur;2;
RAGE;rage;4;fillfoot;Celle de vaincre;joueur;1;
EAUX;eaux;4;fillfoot;Pluriel aquatique;factuel;1;
AINE;aine;4;fillfoot;Zone des claquages;joueur;2;
IDEE;idée;4;fillfoot;Éclair du numéro dix;joueur;2;
OSER;oser;4;fillfoot;Tenter le grand pont;joueur;1;
AMER;amer;4;fillfoot;Goût de la défaite;joueur;1;
RIRE;rire;4;fillfoot;Réaction au petit pont subi;joueur;2;
ELAN;élan;4;vocab;Course avant la frappe;factuel;1;
OREE;orée;4;fillfoot;Lisière;factuel;2;
USER;user;4;fillfoot;Fatiguer l'adversaire;joueur;2;
ETRE;être;4;fillfoot;Exister;factuel;1;
ANSE;anse;4;fillfoot;Poignée de la coupe;joueur;2;
ECHO;écho;4;fillfoot;Rumeur de mercato;joueur;2;
SETE;Sète;4;clubs;Auteur du doublé coupe-championnat 1934;factuel;3;FC Sète 1934
MESSI;Messi;5;legendes;Huit Ballons d'Or;factuel;1;
KANTE;Kanté;5;legendes;Récupérateur souriant de 2018;factuel;1;
POGBA;Pogba;5;legendes;La Pioche;joueur;1;
HENRY;Henry;5;legendes;Meilleur buteur de l'histoire d'Arsenal;factuel;1;
PAPIN;Papin;5;legendes;Ballon d'Or 1991;factuel;1;
PIRLO;Pirlo;5;legendes;Architecte italien;joueur;1;
TOTTI;Totti;5;legendes;Empereur de Rome;joueur;1;
NESTA;Nesta;5;legendes;Élégance défensive italienne;joueur;2;
RAMOS;Ramos;5;legendes;Sauveur madrilène de la 93e à Lisbonne;factuel;2;finale C1 2014
PIQUE;Piqué;5;legendes;Central catalan champion du monde;factuel;2;
NEUER;Neuer;5;legendes;Gardien libéro bavarois;factuel;1;
KROOS;Kroos;5;legendes;Passeur allemand de Madrid;factuel;1;
ALABA;Alaba;5;actuels;Autrichien polyvalent;factuel;2;
VIDAL;Vidal;5;legendes;Guerrier chilien;joueur;2;
SILVA;Silva;5;actuels;Magicien de City ou roc de Chelsea;factuel;2;
COSTA;Costa;5;legendes;Diego au sang chaud;joueur;2;
PEDRI;Pedri;5;actuels;Joyau canarien du Barça;factuel;1;
KLOPP;Klopp;5;coachs;Coach du heavy metal football;joueur;1;
STADE;stade;5;vocab;Théâtre des matchs;factuel;1;
COUPE;coupe;5;competitions;On espère la ramener à la maison;joueur;1;
COUPE;coupe;5;competitions;Compétition à élimination directe;factuel;1;
LIGUE;ligue;5;competitions;Celle des champions se joue le mardi;joueur;1;
TACLE;tacle;5;vocab;Geste défensif glissé;factuel;1;
PASSE;passe;5;vocab;Caviar quand elle est décisive;joueur;1;
VOLEE;volée;5;vocab;Reprise sans contrôle;factuel;1;
FAUTE;faute;5;vocab;Elle donne un coup franc;factuel;1;
APPEL;appel;5;vocab;Course dans le dos de la défense;factuel;1;
TALON;talon;5;vocab;Arrière du pied des passes chics;joueur;2;
PIVOT;pivot;5;vocab;Attaquant dos au but;factuel;2;
GESTE;geste;5;vocab;Panenka ou madjer par exemple;joueur;2;
HYMNE;hymne;5;culture;Chanté avant le coup d'envoi;factuel;1;
SCORE;score;5;vocab;Affiché au tableau;factuel;1;
RALER;râler;5;fillfoot;Protester contre l'arbitre;joueur;1;
CRIER;crier;5;fillfoot;S'égosiller en tribune;joueur;1;
MILAN;Milan;5;clubs;Club rossonero;factuel;1;
INTER;Inter;5;clubs;Rival nerazzurro du Milan;factuel;1;
PORTO;Porto;5;clubs;Dragons lusitaniens;factuel;2;
ARENA;arena;5;stades;Stade à l'antique;factuel;2;
ULTRA;ultra;5;culture;Supporter du virage;factuel;1;
TIFOS;tifos;5;culture;Fresques des virages;factuel;2;
REIMS;Reims;5;clubs;Grand club français des années 50;factuel;2;finaliste C1 1956 1959
SEDAN;Sedan;5;clubs;Sangliers des Ardennes;factuel;2;
LILLE;Lille;5;clubs;Champion de France 2021;factuel;1;
PARIS;Paris;5;clubs;Capitale du champion d'Europe 2025;factuel;1;PSG C1 2025
NANCY;Nancy;5;clubs;Club des débuts de Platini;factuel;2;
DIJON;Dijon;5;clubs;Moutarde et football;joueur;2;
BLEUS;Bleus;5;selections;Surnom des internationaux français;factuel;1;
SACRE;sacre;5;vocab;Couronnement de fin de saison;factuel;1;
TERRE;terre;5;fillfoot;Planète foot;joueur;1;
OCEAN;océan;5;fillfoot;L'Atlantique en est un;factuel;1;
RATER;rater;5;fillfoot;Manquer l'immanquable;joueur;1;
ECART;écart;5;vocab;Différence au score;factuel;1;
GAZON;gazon;5;vocab;Moquette naturelle du terrain;joueur;1;
ZIDANE;Zidane;6;legendes;Doublé de la tête en finale 98;factuel;1;
MBAPPE;Mbappé;6;actuels;Capitaine des Bleus;factuel;1;
GIROUD;Giroud;6;legendes;Volée en scorpion primée en 2017;factuel;2;prix Puskas 2017
VARANE;Varane;6;legendes;Quadruple champion d'Europe avec Madrid;factuel;2;
THURAM;Thuram;6;legendes;Doublé mythique en demie de 98;factuel;1;France-Croatie 1998
LLORIS;Lloris;6;legendes;Capitaine gantier de 2018;factuel;1;
NEYMAR;Neymar;6;legendes;Transfert le plus cher de l'histoire;factuel;1;222 millions 2017
BUFFON;Buffon;6;legendes;Mur turinois;joueur;1;
HAZARD;Hazard;6;legendes;Dribbleur belge;factuel;1;
VIEIRA;Vieira;6;legendes;Patron du milieu des années 2000;factuel;1;
MODRIC;Modrić;6;legendes;Ballon d'Or 2018;factuel;1;
RIBERY;Ribéry;6;legendes;Kaiser Franck;joueur;1;
SUAREZ;Suárez;6;legendes;Le Pistolero;joueur;1;
ROONEY;Rooney;6;legendes;Buteur record de United;factuel;1;
KOUNDE;Koundé;6;actuels;Défenseur stylé des Bleus;joueur;1;
WENGER;Wenger;6;coachs;Professeur d'Arsenal;joueur;1;
CORNER;corner;6;vocab;Tir de coin;factuel;1;
BUTEUR;buteur;6;vocab;Renard des surfaces;joueur;1;
MILIEU;milieu;6;vocab;L'entrejeu;factuel;1;
CENTRE;centre;6;vocab;Offrande pour la tête du buteur;joueur;1;
TIRAGE;tirage;6;competitions;Il désigne les affiches;factuel;1;
FANION;fanion;6;vocab;Échangé par les capitaines;factuel;1;
MONACO;Monaco;6;clubs;Club princier;factuel;1;
RENNES;Rennes;6;clubs;Rouge et noir breton;factuel;1;
NANTES;Nantes;6;clubs;Maison des Canaris;factuel;1;
AMIENS;Amiens;6;clubs;Club picard;factuel;2;
TROYES;Troyes;6;clubs;Club aubois;factuel;2;
BAYERN;Bayern;6;clubs;Ogre bavarois;factuel;1;
NAPLES;Naples;6;clubs;Royaume de Diego;joueur;1;Maradona à Naples
CARTON;carton;6;vocab;Jaune ou rouge;factuel;1;
SIRENE;sirène;6;fillfoot;Chant marin trompeur;factuel;2;
ETOILE;étoile;6;selections;Brodée au-dessus du coq;factuel;1;
SAISON;saison;6;vocab;D'août à mai;factuel;1;
DOUBLE;doublé;6;vocab;Coupe et championnat la même année;factuel;1;
TRIPLE;triplé;6;vocab;Trois buts d'un même joueur;factuel;1;
FILETS;filets;6;vocab;Ils tremblent quand ça rentre;joueur;1;
PRESSE;presse;6;culture;Elle note les joueurs le lundi;joueur;1;
BENZEMA;Benzema;7;legendes;Ballon d'Or 2022;factuel;1;
PLATINI;Platini;7;legendes;Triple Ballon d'Or consécutif;factuel;1;1983 1984 1985
INIESTA;Iniesta;7;legendes;Héros de la finale 2010;factuel;1;but en finale CDM 2010
HAALAND;Haaland;7;actuels;Cyborg norvégien;joueur;1;
ARSENAL;Arsenal;7;clubs;Les Gunners;factuel;1;
CHELSEA;Chelsea;7;clubs;Blues de Stamford Bridge;factuel;1;
ANFIELD;Anfield;7;stades;Forteresse de Liverpool;factuel;1;
SEVILLE;Séville;7;clubs;Abonnée à la Ligue Europa;joueur;2;record de victoires C3
LUCARNE;lucarne;7;vocab;Coin parfait de la cage;factuel;1;
PENALTY;penalty;7;vocab;Face-à-face au point fatidique;factuel;1;
MERCATO;mercato;7;vocab;Marché des transferts;factuel;1;
TRIBUNE;tribune;7;stades;Gradins des fidèles;factuel;1;
ATTAQUE;attaque;7;vocab;La meilleure des défenses dit-on;joueur;1;
DEFENSE;défense;7;vocab;Elle gagne les titres dit-on;joueur;1;
ARBITRE;arbitre;7;vocab;L'homme au sifflet;factuel;1;
MAILLOT;maillot;7;vocab;Tunique échangée après le match;factuel;1;
PELOUSE;pelouse;7;stades;Verte et tondue de frais;factuel;1;
REPRISE;reprise;7;vocab;Retour du championnat;factuel;1;
BARTHEZ;Barthez;7;legendes;Crâne embrassé en 98;factuel;1;rituel de Laurent Blanc
TERRAIN;terrain;7;vocab;Rectangle vert;factuel;1;
SIFFLET;sifflet;7;vocab;Trois coups pour la fin;factuel;1;
POTEAUX;poteaux;7;vocab;Montants malchanceux;joueur;1;
DRIBBLE;dribble;7;vocab;L'arme du déséquilibre;factuel;1;
CRAMPON;crampon;7;vocab;Dent de la chaussure;factuel;1;
GARDIEN;gardien;7;vocab;Dernier rempart;factuel;1;
LEGENDE;légende;7;vocab;Pelé ou Maradona;factuel;1;
NUMEROS;numéros;7;vocab;De 1 à 99 dans le dos;factuel;1;
SURFACE;surface;7;vocab;Rectangle du penalty;factuel;1;
MARADONA;Maradona;8;legendes;Main de Dieu et but du siècle;factuel;1;1986
JUVENTUS;Juventus;8;clubs;La Vieille Dame;factuel;1;
DORTMUND;Dortmund;8;clubs;Ville du mur jaune;factuel;1;
COURTOIS;Courtois;8;actuels;Géant belge des cages madrilènes;factuel;1;
CHARLTON;Charlton;8;legendes;Sir Bobby de United;factuel;2;
MOURINHO;Mourinho;8;coachs;Le Special One;factuel;1;
FERGUSON;Ferguson;8;coachs;Sir Alex aux treize Premier League;factuel;1;
DESAILLY;Desailly;8;legendes;Roc de 98;factuel;1;
MAKELELE;Makélélé;8;legendes;Un poste porte son nom;factuel;1;rôle de sentinelle
VINICIUS;Vinícius;8;actuels;Ailier brésilien du Real;factuel;1;
DRIBBLES;dribbles;8;vocab;Chapelets de crochets;joueur;1;
PELOUSES;pelouses;8;stades;Rectangles verts au pluriel;factuel;1;
LATERAUX;latéraux;8;vocab;Défenseurs de couloir;factuel;1;
ATTAQUES;attaques;8;vocab;Phases offensives;factuel;1;
DEFENSES;défenses;8;vocab;Arrière-gardes;factuel;1;
DESCHAMPS;Deschamps;9;coachs;Champion du monde joueur puis sélectionneur;factuel;1;1998 et 2018
TREZEGUET;Trezeguet;9;legendes;But en or de l'Euro 2000;factuel;1;
BARCELONE;Barcelone;9;clubs;Maison blaugrana;factuel;1;
LIVERPOOL;Liverpool;9;clubs;You'll Never Walk Alone;factuel;1;
GRIEZMANN;Griezmann;9;actuels;Grizou;joueur;1;
MARSEILLE;Marseille;9;clubs;Cité phocéenne;factuel;1;
VESTIAIRE;vestiaire;9;vocab;La causerie s'y tient;factuel;1;
CAPITAINE;capitaine;9;vocab;Porteur du brassard;factuel;1;
ANCELOTTI;Ancelotti;9;coachs;Sourcil le plus célèbre du banc;joueur;1;
GUARDIOLA;Guardiola;9;coachs;Pep obsédé de la possession;joueur;1;
TCHOUAMENI;Tchouaméni;10;actuels;Milieu français du Real;factuel;1;
AUBAMEYANG;Aubameyang;10;actuels;Panthère gabonaise;joueur;1;
SUPPORTERS;supporters;10;culture;Le douzième homme au pluriel;joueur;1;
ATTAQUANTS;attaquants;10;vocab;Ils vivent pour le but;factuel;1;
IBRAHIMOVIC;Ibrahimović;11;legendes;Zlatan tout simplement;joueur;1;
