mot;affichage;longueur;categorie;definition;registre;niveau;verif
CF;C.F.;2;initiales;Sigle qui précède Montréal ou Monterrey;factuel;3;club de football
CF;C.F.;2;initiales;Abréviation de l'avant-centre en anglais;factuel;2;center forward
CF;C.F.;2;initiales;Deux lettres devant des clubs d'Amérique;joueur;2;convention de nommage
CM;C.M.;2;initiales;Initiales du récupérateur de 1998;factuel;2;champion du monde
CM;C.M.;2;initiales;Milieu de l'ombre du Real des Galactiques;factuel;2;rôle dans l'équipe
CM;C.M.;2;initiales;Deux lettres qui ont donné leur nom à un rôle;joueur;3;poste éponyme
CR;C.R.;2;initiales;Initiales du recordman de sélections portugaises;factuel;1;deux cent vingt-six capes
CR;C.R.;2;initiales;Initiales d'un quintuple Ballon d'Or;factuel;2;palmarès individuel
CR;C.R.;2;initiales;Deux lettres suivies d'un sept, d'habitude;joueur;1;surnom du joueur
DB;D.B.;2;initiales;Initiales d'un maître anglais du coup de pied arrêté;factuel;1;spécialiste des coups francs
DB;D.B.;2;initiales;Il a porté le maillot de United, du Real et de Milan;factuel;2;carrière du joueur
DB;D.B.;2;initiales;Deux lettres devenues une marque à elles seules;joueur;2;notoriété mondiale
DD;D.D.;2;initiales;Initiales du sélectionneur champion en 2018;factuel;1;en poste de 2012 à 2026
DD;D.D.;2;initiales;Elles vont aussi à un buteur ivoirien de Chelsea;factuel;2;Drogba
DD;D.D.;2;initiales;Il l'a gagnée en joueur et en sélectionneur;joueur;1;champion 1998 et 2018
DE;de;2;initiales;Il relie Coupe et France dans le nom d'une épreuve;factuel;1;construction du nom
DE;de;2;initiales;Préposition des noms de stades;joueur;1;stade de France
DE;de;2;initiales;Deux lettres au milieu de bien des patronymes;factuel;2;particule
DG;D.G.;2;initiales;Initiales d'un ailier français adoré à Newcastle;factuel;3;idole en Angleterre
DG;D.G.;2;initiales;Meilleur joueur de Premier League en 1999;factuel;3;distinction anglaise
DG;D.G.;2;initiales;Deux lettres à la chevelure inoubliable;joueur;2;silhouette du joueur
DM;D.M.;2;initiales;Initiales de l'auteur du but du siècle;factuel;1;Mondial 1986
DM;D.M.;2;initiales;Champion du monde argentin en 1986;factuel;1;titre au Mexique
DM;D.M.;2;initiales;Deux lettres au pied gauche magique;joueur;1;réputation du meneur
DU;du;2;initiales;Article devant Parc des Princes;factuel;1;usage courant
DU;du;2;initiales;Il précède ballon quand on parle du match;joueur;1;article contracté
DU;du;2;initiales;Deux lettres devant Vélodrome, non, devant Parc;factuel;2;contraction de de le
DV;D.V.;2;initiales;Initiales du buteur espagnol sacré en 2010;factuel;2;titre mondial
DV;D.V.;2;initiales;Longtemps meilleur artilleur de sa sélection;factuel;2;record espagnol
DV;D.V.;2;initiales;Deux lettres devant, toujours au bon endroit;joueur;2;sens du placement
EA;E.A.;2;initiales;Sigle qui précède Guingamp;factuel;3;En Avant
EA;E.A.;2;initiales;Éditeur du jeu vidéo de football le plus vendu;factuel;1;studio américain
EA;E.A.;2;initiales;Deux lettres bretonnes et rouges;joueur;3;club des Côtes-d'Armor
EC;E.C.;2;initiales;Initiales du King de Manchester United;factuel;2;idole d'Old Trafford
EC;E.C.;2;initiales;Attaquant français au col relevé;joueur;1;silhouette culte
EC;E.C.;2;initiales;Il a fini par jouer les acteurs;factuel;2;reconversion au cinéma
EH;E.H.;2;initiales;Initiales du Norvégien aux sept buts en 2026;factuel;1;podium des buteurs
EH;E.H.;2;initiales;Meilleur buteur de Premier League en 2025-2026;factuel;1;vingt-sept réalisations
EH;E.H.;2;initiales;Deux lettres qui célèbrent en position de yoga;joueur;2;célébration reconnaissable
EN;en;2;initiales;Préposition devant Ligue des champions;factuel;1;usage courant
EN;en;2;initiales;Il précède prolongation quand c'est serré;joueur;1;fin de match
EN;en;2;initiales;Deux lettres devant tous les stades du monde;joueur;1;préposition de lieu
EP;E.P.;2;initiales;Initiales du buteur du troisième but de 1998;factuel;2;finale contre le Brésil
EP;E.P.;2;initiales;Milieu français passé par Arsenal;factuel;2;carrière en Angleterre
EP;E.P.;2;initiales;Deux lettres au but dans le temps additionnel;joueur;2;finale du Mondial 1998
ER;er;2;initiales;Terminaison des verbes comme tirer et centrer;factuel;1;premier groupe
ER;er;2;initiales;Deux lettres qui finissent marquer et dribbler;joueur;1;infinitifs du football
ER;er;2;initiales;Suffixe du plus grand groupe de verbes français;factuel;2;grammaire
ES;es;2;initiales;Sigle qui précède Troyes;factuel;3;étoile sportive
ES;es;2;initiales;Verbe être à la deuxième personne;factuel;1;conjugaison
ES;es;2;initiales;Deux lettres devant le nom d'un club aubois;joueur;3;convention de nommage
ET;et;2;initiales;Conjonction entre victoire et défaite;factuel;1;coordination
ET;et;2;initiales;Il relie Coupe et championnat dans un doublé;joueur;2;expression consacrée
ET;et;2;initiales;Deux lettres qui additionnent les trophées;joueur;1;énumération de palmarès
EU;eu;2;initiales;Participe du club qui a tout gagné;factuel;2;verbe avoir
EU;eu;2;initiales;Deux lettres devant chaud dans les arrêts de jeu;joueur;2;expression consacrée
EU;eu;2;initiales;Il complète on a le titre;factuel;1;passé composé
FB;F.B.;2;initiales;Initiales du gardien champion du monde 1998;factuel;1;portier des Bleus
FB;F.B.;2;initiales;Elles vont aussi au Kaiser allemand;factuel;2;Beckenbauer
FB;F.B.;2;initiales;On lui embrassait le crâne avant les matchs;joueur;2;rituel de 1998
FC;F.C.;2;initiales;Sigle qui précède Barcelone ou Nantes;factuel;1;football-club
FC;F.C.;2;initiales;Abréviation la plus répandue du monde;factuel;1;usage universel
FC;F.C.;2;initiales;Deux lettres devant des milliers de noms;joueur;1;convention de nommage
FL;F.L.;2;initiales;Initiales du meilleur buteur de Chelsea;factuel;2;record du club
FL;F.L.;2;initiales;Milieu anglais surgissant à la limite de la surface;joueur;2;spécialité du joueur
FL;F.L.;2;initiales;Deux lettres devenues entraîneur des Blues;factuel;2;retour au club
FT;F.T.;2;initiales;Initiales du capitaine emblématique de la Roma;factuel;2;fidélité au club
FT;F.T.;2;initiales;Elles vont aussi à un buteur espagnol de 2008;factuel;2;Fernando Torres
FT;F.T.;2;initiales;Deux lettres d'un seul maillot toute une vie;joueur;2;joueur d'un seul club
GB;G.B.;2;initiales;Initiales du gardien champion du monde 2006;factuel;1;titre en Allemagne
GB;G.B.;2;initiales;Portier italien à la longévité rare;factuel;2;carrière prolongée
GB;G.B.;2;initiales;Deux lettres qui ont tout arrêté;joueur;1;réputation du gardien
GM;G.M.;2;initiales;Initiales du buteur allemand de 1974;factuel;2;champion du monde
GM;G.M.;2;initiales;Der Bomber, en deux lettres;joueur;2;surnom du joueur
GM;G.M.;2;initiales;Son record de buts en Bundesliga a tenu longtemps;factuel;3;marque historique
GR;G.R.;2;initiales;Initiales du bâtisseur d'Auxerre;factuel;2;quarante ans au club
GR;G.R.;2;initiales;Technicien au bonnet en hiver;joueur;1;silhouette culte
GR;G.R.;2;initiales;Il a mené un petit club au titre national;factuel;2;champion en 1996
GW;G.W.;2;initiales;Initiales du seul Africain Ballon d'Or;factuel;2;lauréat de 1995
GW;G.W.;2;initiales;Attaquant libérien devenu chef d'État;factuel;2;reconversion politique
GW;G.W.;2;initiales;Deux lettres passées de Monaco à Milan;joueur;3;parcours européen
HK;H.K.;2;initiales;Initiales du meilleur buteur de Bundesliga 2026;factuel;1;trente-six réalisations
HK;H.K.;2;initiales;Capitaine anglais absent de la petite finale;factuel;3;onze remanié à Miami
HK;H.K.;2;initiales;Deux lettres qui décrochent pour orienter le jeu;joueur;2;profil de l'avant-centre
IC;I.C.;2;initiales;Initiales du capitaine espagnol sacré en 2010;factuel;1;titre en Afrique du Sud
IC;I.C.;2;initiales;Gardien du Real et de la Roja;factuel;2;parcours du portier
IC;I.C.;2;initiales;Il a soulevé le trophée en Afrique du Sud;joueur;1;finale de 2010
IL;il;2;initiales;Pronom du commentateur qui décrit l'action;factuel;1;troisième personne
IL;il;2;initiales;Deux lettres devant a marqué;joueur;1;annonce du but
IL;il;2;initiales;Sujet obligatoire quand on parle du buteur;factuel;1;grammaire française
IN;in;2;initiales;Anglicisme du joueur qui entre;factuel;3;opposé de out
IN;in;2;initiales;Deux lettres des tableaux de mercato;joueur;2;arrivées et départs
IN;in;2;initiales;Préfixe de la formation des mots;factuel;2;usage grammatical
JB;J.B.;2;initiales;Initiales du troisième buteur du Mondial 2026;factuel;1;sept réalisations
JB;J.B.;2;initiales;Il a scellé la petite finale à la 90e+7;factuel;2;match pour la troisième place
JB;J.B.;2;initiales;Deux lettres qui écartent les bras en célébrant;joueur;2;geste reconnaissable
JC;J.C.;2;initiales;Initiales de l'inventeur du football total;factuel;1;école néerlandaise
JC;J.C.;2;initiales;Un crochet porte son nom;joueur;2;geste éponyme
JC;J.C.;2;initiales;Triple Ballon d'Or en deux lettres;factuel;2;1971, 1973 et 1974
JF;J.F.;2;initiales;Initiales de l'auteur de treize buts en un Mondial;factuel;2;record de 1958
JF;J.F.;2;initiales;Son record tient depuis plus de soixante ans;factuel;1;marque jamais battue
JF;J.F.;2;initiales;Deux lettres que personne n'a rattrapées;joueur;2;record d'une édition
JM;J.M.;2;initiales;Initiales du Special One;factuel;1;surnom du technicien
JM;J.M.;2;initiales;Il a gagné la Ligue des champions avec Porto;factuel;2;titre de 2004
JM;J.M.;2;initiales;Deux lettres qui adorent la provocation;joueur;2;style en conférence
JP;J.P.;2;initiales;Initiales du Ballon d'Or français de 1991;factuel;2;lauréat marseillais
JP;J.P.;2;initiales;Une reprise acrobatique porte son surnom;factuel;2;geste éponyme
JP;J.P.;2;initiales;Deux lettres qui ne ratent rien dans la surface;joueur;2;instinct du buteur
JT;J.T.;2;initiales;Initiales d'un membre du carré magique;factuel;2;Bleus des années 80
JT;J.T.;2;initiales;Milieu champion d'Europe en 1984;factuel;2;Euro en France
JT;J.T.;2;initiales;Deux lettres devenues entraîneur ensuite;joueur;3;reconversion sur le banc
KB;K.B.;2;initiales;Initiales d'un Ballon d'Or français;factuel;1;distinction de 2022
KB;K.B.;2;initiales;Quinze buts européens en une saison;factuel;2;record de 2021-2022
KB;K.B.;2;initiales;Deux lettres longtemps madrilènes;joueur;2;carrière au Real
KK;K.K.;2;initiales;Initiales du capitaine sénégalais;factuel;1;brassard de la Teranga
KK;K.K.;2;initiales;Défenseur central passé par Naples et Chelsea;factuel;2;parcours européen
KK;K.K.;2;initiales;Deux lettres impassables dans l'axe;joueur;1;réputation du central
KM;K.M.;2;initiales;Initiales du meilleur buteur du Mondial 2026;factuel;1;dix réalisations
KM;K.M.;2;initiales;Capitaine des Bleus en deux lettres;factuel;1;brassard tricolore
KM;K.M.;2;initiales;Elles servent aussi à mesurer les distances;joueur;1;homonymie
KO;K.-O.;2;vocab;Phase à élimination directe, en anglais;factuel;2;knock-out
KO;K.-O.;2;vocab;L'équipe l'est après la prolongation;joueur;1;épuisement complet
KO;K.-O.;2;vocab;Deux encaissés en cinq minutes et voilà;joueur;2;équipe assommée
LA;la;2;initiales;Article devant Ligue des champions;factuel;1;usage courant
LA;la;2;initiales;Il précède Roja quand on parle de l'Espagne;joueur;2;surnom de la sélection
LA;la;2;initiales;Deux lettres devant Coupe et devant Liga;factuel;1;article féminin
LB;L.B.;2;initiales;Initiales du buteur en or de l'Euro 2000;factuel;3;champion d'Europe
LB;L.B.;2;initiales;Central de 1998 devenu sélectionneur;factuel;2;parcours du joueur
LB;L.B.;2;initiales;Le Président, en deux lettres;joueur;2;surnom du défenseur
LE;le;2;initiales;Initiales du technicien espagnol du PSG;factuel;3;Luis Enrique
LE;le;2;initiales;Article devant Parc et devant Vélodrome;factuel;1;article masculin
LE;le;2;initiales;Deux lettres devant tous les surnoms de clubs;joueur;1;usage courant
LM;L.M.;2;initiales;Initiales de l'octuple Ballon d'Or;factuel;1;record individuel
LM;L.M.;2;initiales;Elles vont aussi à un meneur croate du Real;factuel;3;Modric
LM;L.M.;2;initiales;Deux lettres finalistes malheureuses en 2026;joueur;2;défaite face à l'Espagne
LS;L.S.;2;initiales;Initiales du sélectionneur argentin de 2026;factuel;1;Scaloni sur le banc
LS;L.S.;2;initiales;Elles vont aussi à un buteur uruguayen célèbre;factuel;2;Luis Suárez
LS;L.S.;2;initiales;Deux lettres championnes du monde en 2022;joueur;2;titre au Qatar
LT;L.T.;2;initiales;Initiales du père, champion du monde 1998;factuel;2;défenseur des Bleus
LT;L.T.;2;initiales;Recordman de sélections tricolores pendant des années;factuel;2;longévité en équipe de France
LT;L.T.;2;initiales;Deux têtes contre la Croatie, en deux lettres;joueur;2;demi-finale 1998
LY;L.Y.;2;initiales;Initiales du prodige champion du monde 2026;factuel;1;titre espagnol
LY;L.Y.;2;initiales;Il porte le numéro dix du Barça;factuel;2;maillot mythique
LY;L.Y.;2;initiales;Deux lettres titulaires en finale à dix-huit ans;joueur;2;précocité
MA;ma;2;initiales;Adjectif devant équipe favorite;factuel;1;possessif féminin
MA;ma;2;initiales;Il précède place en tribune quand on s'abonne;joueur;2;billetterie
MA;ma;2;initiales;Deux lettres devant écharpe et devant compo;joueur;1;possessif courant
MD;M.D.;2;initiales;Initiales d'un central champion du monde 1998;factuel;2;défenseur des Bleus
MD;M.D.;2;initiales;Il a été expulsé lors de la finale de 1998;factuel;3;carton rouge au Stade de France
MD;M.D.;2;initiales;Deux lettres nées à Accra;joueur;3;origines du joueur
ME;me;2;initiales;Pronom du supporter qui s'emporte;factuel;2;première personne
ME;me;2;initiales;Deux lettres devant voilà debout au but;joueur;2;réaction du public
ME;me;2;initiales;Complément de la phrase du fidèle;factuel;1;pronom personnel
MH;M.H.;2;initiales;Initiales du sélectionneur de l'Euro 1984;factuel;2;titre à domicile
MH;M.H.;2;initiales;Il a lancé la génération du carré magique;factuel;3;bâtisseur des Bleus
MH;M.H.;2;initiales;Deux lettres sur le banc en 1982 et 1984;joueur;3;parcours du technicien
MI;mi-;2;vocab;Préfixe de la pause entre deux périodes;factuel;2;mi-temps
MI;mi-;2;vocab;Elle sépare les deux moitiés de la rencontre;factuel;1;pause réglementaire
MI;mi-;2;vocab;La causerie s'y tient au chaud;joueur;2;discours dans le vestiaire
MN;M.N.;2;initiales;Initiales du gardien allemand aux cinq Mondiaux;factuel;2;2010 à 2026
MN;M.N.;2;initiales;Portier sorti de sa retraite internationale;factuel;1;rappel de mai 2026
MN;M.N.;2;initiales;Deux lettres qui jouaient en libéro;joueur;2;style du gardien
MP;M.P.;2;initiales;Initiales d'un triple Ballon d'Or consécutif;factuel;1;1983, 1984 et 1985
MP;M.P.;2;initiales;Patron des Bleus sacrés en 1984;factuel;1;Euro remporté en France
MP;M.P.;2;initiales;Neuf buts en cinq matchs, en deux lettres;joueur;2;Euro 1984
MS;M.S.;2;initiales;Initiales du meilleur buteur égyptien;factuel;1;record des Pharaons
MS;M.S.;2;initiales;Vingt-neuf buts anglais en une saison;factuel;2;exercice 2024-2025
MS;M.S.;2;initiales;Deux lettres qui repiquent depuis la droite;joueur;2;profil de l'ailier
MT;M.T.;2;initiales;Initiales du fils, attaquant des Bleus;factuel;2;Mondial 2026
MT;M.T.;2;initiales;Son père a soulevé le trophée en 1998;factuel;1;filiation tricolore
MT;M.T.;2;initiales;Deux lettres de la deuxième génération;joueur;2;dynastie familiale
MV;M.V.;2;initiales;Initiales du triple Ballon d'Or néerlandais;factuel;2;1988, 1989 et 1992
MV;M.V.;2;initiales;Sa volée a offert l'Euro 1988 aux Pays-Bas;factuel;2;but en finale
MV;M.V.;2;initiales;Deux lettres au geste le plus recopié;joueur;2;reprise en finale
NE;ne;2;initiales;Négation devant tire pas au but;joueur;1;première partie de la négation
NE;ne;2;initiales;Il ouvre toutes les critiques de tribune;factuel;2;grammaire française
NE;ne;2;initiales;Deux lettres devant marque plus depuis mars;joueur;2;disette d'un buteur
NI;ni;2;initiales;Ni but ni penalty, la soirée fut longue;joueur;2;double négation
NI;ni;2;initiales;Conjonction qui double la négation;factuel;1;grammaire française
NI;ni;2;initiales;Deux lettres pour un zéro à zéro sans occasion;joueur;2;match stérile
NJ;N.J.;2;initiales;Initiales d'un Brésilien à quatre Coupes du monde;factuel;1;2014, 2018, 2022 et 2026
NJ;N.J.;2;initiales;Transfert le plus cher de l'histoire;factuel;1;deux cent vingt-deux millions
NJ;N.J.;2;initiales;Deux lettres revenues jouer au pays;joueur;2;retour au Brésil
NK;N.K.;2;initiales;Initiales d'un champion du monde 2018;factuel;1;titre en Russie
NK;N.K.;2;initiales;Récupérateur parti jouer en Arabie;factuel;2;championnat saoudien
NK;N.K.;2;initiales;Deux lettres qui courent partout;joueur;1;réputation du milieu
NO;no;2;initiales;Refus en anglais, celui du club vendeur;factuel;2;négociation de transfert
NO;no;2;initiales;Deux lettres devant comment dans une phrase célèbre;joueur;3;anglicisme
NO;no;2;initiales;Il précède goal chez les commentateurs anglais;factuel;3;terme de diffusion
NU;nu;2;initiales;Le torse l'est après l'échange de maillots;joueur;2;tradition d'après-match
NU;nu;2;initiales;Célébrer ainsi vaut un avertissement;factuel;2;retrait du maillot sanctionné
NU;nu;2;initiales;Deux lettres qui coûtent un carton jaune;joueur;2;règle de célébration
OD;O.D.;2;initiales;Initiales du meilleur joueur de Ligue 1 2024-2025;factuel;2;trophée UNFP
OD;O.D.;2;initiales;Champion du monde 2018 devenu avant-centre;factuel;1;repositionnement tactique
OD;O.D.;2;initiales;Deux lettres qui partent des deux pieds;joueur;2;ambidextrie du joueur
OG;O.G.;2;initiales;Initiales du buteur record des Bleus;factuel;2;meilleur artilleur tricolore
OG;O.G.;2;initiales;Champion du monde 2018 en deux lettres;factuel;1;titre en Russie
OG;O.G.;2;initiales;Avant-centre longtemps critiqué puis adoré;joueur;2;parcours en sélection
OL;O.L.;2;initiales;Sigle du club rhodanien;factuel;1;Olympique lyonnais
OL;O.L.;2;initiales;Sept titres nationaux consécutifs;factuel;2;série de 2002 à 2008
OL;O.L.;2;initiales;Deux lettres au bord du Rhône;joueur;1;implantation du club
OM;O.M.;2;initiales;Sigle du club phocéen;factuel;1;Olympique de Marseille
OM;O.M.;2;initiales;Seul club français vainqueur de la C1;factuel;1;titre de 1993
OM;O.M.;2;initiales;Deux lettres au Vélodrome;joueur;1;stade du club
ON;on;2;initiales;Pronom des refaiseurs de match au comptoir;joueur;1;discussions de bistrot
ON;on;2;initiales;Il commence toutes les phrases du vestiaire;factuel;2;langage collectif
ON;on;2;initiales;Deux lettres pour parler au nom de l'équipe;factuel;1;pronom indéfini
OR;or;2;vocab;Ce but mettait fin au match sur-le-champ;factuel;3;règle en vigueur de 1993 à 2004
OR;or;2;vocab;Métal du trophée mondial;factuel;2;coupe FIFA en or massif
OR;or;2;vocab;Le ballon du meilleur joueur en est fait;joueur;1;récompense individuelle annuelle
OS;os;2;initiales;Le tibia en est un, protégé par une coque;factuel;2;anatomie du joueur
OS;os;2;initiales;Tomber sur un, c'est buter sur un bloc bas;joueur;2;expression consacrée
OS;os;2;initiales;Deux lettres que les protège-tibias abritent;joueur;1;équipement obligatoire
OU;ou;2;initiales;Conjonction entre victoire et défaite;factuel;1;coordination
OU;ou;2;initiales;Il sépare prolongation et tirs au but;joueur;2;alternative du départage
OU;ou;2;initiales;Deux lettres qui posent toujours un choix;factuel;1;grammaire française
PG;P.G.;2;initiales;Initiales du technicien catalan du tiki-taka;factuel;1;style de jeu
PG;P.G.;2;initiales;Il a entraîné le Barça, le Bayern et City;factuel;2;parcours du coach
PG;P.G.;2;initiales;Deux lettres qui ne jurent que par la possession;joueur;2;philosophie de jeu
PM;P.M.;2;initiales;Initiales du capitaine du Milan des années 90;factuel;2;brassard rossonero
PM;P.M.;2;initiales;Défenseur d'un seul club toute sa carrière;factuel;1;fidélité absolue
PM;P.M.;2;initiales;Deux lettres élégantes jusque dans le tacle;joueur;2;style du défenseur
PT;P.T.;2;initiales;Initiales du sélectionneur sénégalais de 2026;factuel;2;Pape Thiaw
PT;P.T.;2;initiales;Il a mené les Lions au titre continental;factuel;2;CAN 2025
PT;P.T.;2;initiales;Deux lettres qui ont succédé à Aliou Cissé;joueur;3;changement de sélectionneur
PV;P.V.;2;initiales;Initiales du capitaine français des Invincibles;factuel;2;Arsenal 2004
PV;P.V.;2;initiales;Champion du monde 1998 entré en finale;factuel;2;titre en France
PV;P.V.;2;initiales;Deux lettres immenses au milieu du terrain;joueur;2;gabarit du joueur
RB;R.B.;2;initiales;Sigle qui précède Leipzig ou Salzbourg;factuel;2;clubs de la galaxie autrichienne
RB;R.B.;2;initiales;Initiales d'un numéro dix italien au Ballon d'Or;factuel;2;Roberto Baggio
RB;R.B.;2;initiales;Deux lettres qui font grincer les puristes;joueur;3;clubs à marque
RC;R.C.;2;initiales;Sigle qui précède Lens ou Strasbourg;factuel;1;racing-club
RC;R.C.;2;initiales;Initiales d'un gaucher brésilien au canon;factuel;2;Roberto Carlos
RC;R.C.;2;initiales;Deux lettres sang et or dans le Nord;joueur;2;couleurs lensoises
RE;re;2;initiales;Préfixe de la reprise du championnat;factuel;2;formation des mots
RE;re;2;initiales;Il précède monter quand on quitte la Ligue 2;joueur;2;accession
RE;re;2;initiales;Deux lettres devant jouer un match arrêté;factuel;2;rencontre à rejouer
RK;R.K.;2;initiales;Initiales du premier Ballon d'Or français;factuel;2;lauréat de 1958
RK;R.K.;2;initiales;Meneur des Bleus troisièmes en Suède;factuel;3;Mondial 1958
RK;R.K.;2;initiales;Deux lettres nées dans le bassin minier;joueur;3;origines du joueur
RL;R.L.;2;initiales;Initiales du buteur polonais du Bayern et du Barça;factuel;1;parcours du joueur
RL;R.L.;2;initiales;Cinq buts en neuf minutes, un jour de Bundesliga;factuel;3;record de 2015
RL;R.L.;2;initiales;Deux lettres qui vivent dans la surface;joueur;1;profil du finisseur
RM;R.M.;2;initiales;Sigle du club le plus titré d'Europe;factuel;1;Real Madrid
RM;R.M.;2;initiales;Initiales du sélectionneur du Portugal en 2026;factuel;3;Roberto Martínez
RM;R.M.;2;initiales;Deux lettres tout de blanc vêtues;joueur;1;couleur du maillot
SA;sa;2;initiales;Adjectif devant frappe légendaire;factuel;1;possessif féminin
SA;sa;2;initiales;Il précède reprise quand on parle d'un geste;joueur;2;commentaire d'action
SA;sa;2;initiales;Deux lettres devant carrière et devant panenka;joueur;1;possessif courant
SC;S.C.;2;initiales;Sigle qui précède Bastia ou Braga;factuel;2;sporting-club
SC;S.C.;2;initiales;Abréviation portugaise et française à la fois;factuel;2;usage commun
SC;S.C.;2;initiales;Deux lettres devant bien des écussons;joueur;1;convention de nommage
SE;S.E.;2;initiales;Initiales du meilleur buteur camerounais;factuel;2;record des Lions indomptables
SE;S.E.;2;initiales;Quadruple Ballon d'Or africain;factuel;2;palmarès continental
SE;S.E.;2;initiales;Deux lettres championnes d'Europe avec deux clubs;joueur;3;Barça et Inter
SG;S.G.;2;initiales;Initiales du capitaine emblématique de Liverpool;factuel;2;brassard des Reds
SG;S.G.;2;initiales;Milieu anglais devenu entraîneur;factuel;2;reconversion sur le banc
SG;S.G.;2;initiales;Deux lettres à la frappe de loin redoutée;joueur;2;réputation du milieu
SI;si;2;initiales;Conjonction des refaiseurs de match;joueur;1;hypothèse d'après-match
SI;si;2;initiales;Il introduit tous les regrets du perdant;factuel;2;conditionnel
SI;si;2;initiales;Deux lettres devant on avait marqué;joueur;1;expression du regret
SL;S.L.;2;initiales;Sigle qui précède Benfica;factuel;2;club de Lisbonne
SL;S.L.;2;initiales;Abréviation d'une société portugaise omnisports;factuel;3;usage lusitanien
SL;S.L.;2;initiales;Deux lettres devant l'aigle de la Luz;joueur;3;emblème du club
SM;S.M.;2;initiales;Initiales d'un attaquant sénégalais légendaire;factuel;1;cadre des Lions
SM;S.M.;2;initiales;Ballon d'Or africain passé par Liverpool;factuel;2;parcours du joueur
SM;S.M.;2;initiales;Deux lettres au Mondial 2026 face aux Bleus;joueur;2;groupe I
